"id","state_id:id","code","name"
"__export__.l10n_ec_ote_canton_0101","base.state_ec_01","0101","CUENCA"
"__export__.l10n_ec_ote_canton_0102","base.state_ec_01","0102","GIRON"
"__export__.l10n_ec_ote_canton_0103","base.state_ec_01","0103","GUALACEO"
"__export__.l10n_ec_ote_canton_0104","base.state_ec_01","0104","NABON"
"__export__.l10n_ec_ote_canton_0105","base.state_ec_01","0105","PAUTE"
"__export__.l10n_ec_ote_canton_0106","base.state_ec_01","0106","PUCARA"
"__export__.l10n_ec_ote_canton_0107","base.state_ec_01","0107","SAN FERNANDO"
"__export__.l10n_ec_ote_canton_0108","base.state_ec_01","0108","SANTA ISABEL"
"__export__.l10n_ec_ote_canton_0109","base.state_ec_01","0109","SIGSIG"
"__export__.l10n_ec_ote_canton_0110","base.state_ec_01","0110","OÑA"
"__export__.l10n_ec_ote_canton_0111","base.state_ec_01","0111","CHORDELEG"
"__export__.l10n_ec_ote_canton_0112","base.state_ec_01","0112","EL PAN"
"__export__.l10n_ec_ote_canton_0113","base.state_ec_01","0113","SEVILLA DE ORO"
"__export__.l10n_ec_ote_canton_0114","base.state_ec_01","0114","GUACHAPALA"
"__export__.l10n_ec_ote_canton_0115","base.state_ec_01","0115","CAMILO PONCE ENRIQUEZ"
"__export__.l10n_ec_ote_canton_0201","base.state_ec_02","0201","GUARANDA"
"__export__.l10n_ec_ote_canton_0202","base.state_ec_02","0202","CHILLANES"
"__export__.l10n_ec_ote_canton_0203","base.state_ec_02","0203","CHIMBO"
"__export__.l10n_ec_ote_canton_0204","base.state_ec_02","0204","ECHEANDIA"
"__export__.l10n_ec_ote_canton_0205","base.state_ec_02","0205","SAN MIGUEL"
"__export__.l10n_ec_ote_canton_0206","base.state_ec_02","0206","CALUMA"
"__export__.l10n_ec_ote_canton_0207","base.state_ec_02","0207","LAS NAVES"
"__export__.l10n_ec_ote_canton_0301","base.state_ec_03","0301","AZOGUES"
"__export__.l10n_ec_ote_canton_0302","base.state_ec_03","0302","BIBLIAN"
"__export__.l10n_ec_ote_canton_0303","base.state_ec_03","0303","CAÑAR"
"__export__.l10n_ec_ote_canton_0304","base.state_ec_03","0304","LA TRONCAL"
"__export__.l10n_ec_ote_canton_0305","base.state_ec_03","0305","EL TAMBO"
"__export__.l10n_ec_ote_canton_0306","base.state_ec_03","0306","DELEG"
"__export__.l10n_ec_ote_canton_0307","base.state_ec_03","0307","SUSCAL"
"__export__.l10n_ec_ote_canton_0401","base.state_ec_04","0401","TULCAN"
"__export__.l10n_ec_ote_canton_0402","base.state_ec_04","0402","BOLIVAR"
"__export__.l10n_ec_ote_canton_0403","base.state_ec_04","0403","ESPEJO"
"__export__.l10n_ec_ote_canton_0404","base.state_ec_04","0404","MIRA"
"__export__.l10n_ec_ote_canton_0405","base.state_ec_04","0405","MONTUFAR"
"__export__.l10n_ec_ote_canton_0406","base.state_ec_04","0406","SAN PEDRO DE HUACA"
"__export__.l10n_ec_ote_canton_0501","base.state_ec_05","0501","LATACUNGA"
"__export__.l10n_ec_ote_canton_0502","base.state_ec_05","0502","LA MANA"
"__export__.l10n_ec_ote_canton_0503","base.state_ec_05","0503","PANGUA"
"__export__.l10n_ec_ote_canton_0504","base.state_ec_05","0504","PUJILI"
"__export__.l10n_ec_ote_canton_0505","base.state_ec_05","0505","SALCEDO"
"__export__.l10n_ec_ote_canton_0506","base.state_ec_05","0506","SAQUISILI"
"__export__.l10n_ec_ote_canton_0507","base.state_ec_05","0507","SIGCHOS"
"__export__.l10n_ec_ote_canton_0601","base.state_ec_06","0601","RIOBAMBA"
"__export__.l10n_ec_ote_canton_0602","base.state_ec_06","0602","ALAUSI"
"__export__.l10n_ec_ote_canton_0603","base.state_ec_06","0603","COLTA"
"__export__.l10n_ec_ote_canton_0604","base.state_ec_06","0604","CHAMBO"
"__export__.l10n_ec_ote_canton_0605","base.state_ec_06","0605","CHUNCHI"
"__export__.l10n_ec_ote_canton_0606","base.state_ec_06","0606","GUAMOTE"
"__export__.l10n_ec_ote_canton_0607","base.state_ec_06","0607","GUANO"
"__export__.l10n_ec_ote_canton_0608","base.state_ec_06","0608","PALLATANGA"
"__export__.l10n_ec_ote_canton_0609","base.state_ec_06","0609","PENIPE"
