"id","canton_id:id","code","name"
"__export__.ote_parroquia_010101",,"010101","Bellavista"
"__export__.ote_parroquia_010102",,"010102","Cañaribamba"
"__export__.ote_parroquia_010103",,"010103","El Batán"
"__export__.ote_parroquia_010104",,"010104","El Sagrario"
"__export__.ote_parroquia_010105",,"010105","El Vecino"
"__export__.ote_parroquia_010106",,"010106","Gil Ramírez Dávalos"
"__export__.ote_parroquia_010107",,"010107","Huaynacápac"
"__export__.ote_parroquia_010108",,"010108","Machángara"
"__export__.ote_parroquia_010109",,"010109","Monay"
"__export__.ote_parroquia_010110",,"010110","San Blas"
"__export__.ote_parroquia_010111",,"010111","San Sebastián"
"__export__.ote_parroquia_010112",,"010112","Sucre"
"__export__.ote_parroquia_010113",,"010113","Totoracocha "
"__export__.ote_parroquia_010114",,"010114","Yanuncay"
"__export__.ote_parroquia_010115",,"010115","Hermano Miguel"
"__export__.ote_parroquia_010150",,"010150","Cuenca"
"__export__.ote_parroquia_010151",,"010151","Baños"
"__export__.ote_parroquia_010152",,"010152","Cumbe"
"__export__.ote_parroquia_010153",,"010153","Chaucha"
"__export__.ote_parroquia_010154",,"010154","Checa (Jidcay)"
"__export__.ote_parroquia_010155",,"010155","Chiquintad"
"__export__.ote_parroquia_010156",,"010156","Llacao"
"__export__.ote_parroquia_010157",,"010157","Molleturo"
"__export__.ote_parroquia_010158",,"010158","Nulti"
"__export__.ote_parroquia_010159",,"010159","Octavio Cordero Palacios (Santa Rosa) "
"__export__.ote_parroquia_010160",,"010160","Paccha"
"__export__.ote_parroquia_010161",,"010161","Quingeo"
"__export__.ote_parroquia_010162",,"010162","Ricaurte"
"__export__.ote_parroquia_010163",,"010163","San Joaquín"
"__export__.ote_parroquia_010164",,"010164","Santa Ana"
"__export__.ote_parroquia_010165",,"010165","Sayausí"
"__export__.ote_parroquia_010166",,"010166","Sidcay"
"__export__.ote_parroquia_010167",,"010167","Sinincay"
"__export__.ote_parroquia_010168",,"010168","Tarqui"
