"id","name","description","sustento_id:id","type_tax_use","amount_type","amount","tag_ids:id","tax_group_id:id"
"__export__.account_tax_104401","401","VENTAS LOCALES (EXCLUYE ACTIVOS FIJOS) GRAVADAS TARIFA 12%",,"sale","percent","12","__export__.account_account_tag_104401,__export__.account_account_tag_atsbaseimpgrav","__export__.account_tax_group_ivaventas"
"__export__.account_tax_104402","402","VENTAS DE ACTIVOS FIJOS GRAVADAS TARIFA 12%",,"sale","percent","12","__export__.account_account_tag_104402,__export__.account_account_tag_atsbaseimpgrav","__export__.account_tax_group_ivaventas"
"__export__.account_tax_104403","403","VENTAS LOCALES (EXCLUYE ACTIVOS FIJOS) GRAVADAS TARIFA 0% QUE NO DAN DERECHO A CREDITO TRIBUTARIO",,"sale","percent","0","__export__.account_account_tag_104403,__export__.account_account_tag_atsbaseimponible","__export__.account_tax_group_ivaventas"
"__export__.account_tax_104404","404","VENTAS DE ACTIVOS FIJOS GRAVADAS TARIFA 0% QUE NO DAN DERECHO A CREDITO TRIBUTARIO",,"sale","percent","0","__export__.account_account_tag_104404,__export__.account_account_tag_atsbaseimponible","__export__.account_tax_group_ivaventas"
"__export__.account_tax_104405","405","VENTAS LOCALES (EXCLUYE ACTIVOS FIJOS) GRAVADAS TARIFA 0% QUE DAN DERECHO A CREDITO TRIBUTARIO",,"sale","percent","0","__export__.account_account_tag_104405,__export__.account_account_tag_atsbaseimponible","__export__.account_tax_group_ivaventas"
"__export__.account_tax_104406","406","VENTAS DE ACTIVOS FIJOS GRAVADAS TARIFA 0% QUE DAN DERECHO A CREDITO TRIBUTARIO",,"sale","percent","0","__export__.account_account_tag_104406,__export__.account_account_tag_atsbaseimponible","__export__.account_tax_group_ivaventas"
"__export__.account_tax_10440700","407 0%","EXPORTACIONES DE BIENES | Gravadas con tarifa 0%",,"sale","percent","0","__export__.account_account_tag_104407,__export__.account_account_tag_atsbaseimponible","__export__.account_tax_group_ivaventas"
"__export__.account_tax_10440712","407 12%","EXPORTACIONES DE BIENES | Gravadas con tarifa 12% (distinta de 0%)",,"sale","percent","12","__export__.account_account_tag_104407,__export__.account_account_tag_atsbaseimpgrav","__export__.account_tax_group_ivaventas"
"__export__.account_tax_10440800","408 0%","EXPORTACIONES DE SERVICIOS | Gravadas con tarifa 0%",,"sale","percent","0","__export__.account_account_tag_104408,__export__.account_account_tag_atsbaseimponible","__export__.account_tax_group_ivaventas"
"__export__.account_tax_10440812","408 12%","EXPORTACIONES DE SERVICIOS | Gravadas con tarifa 12% (distinta de 0%)",,"sale","percent","12","__export__.account_account_tag_104408,__export__.account_account_tag_atsbaseimpgrav","__export__.account_tax_group_ivaventas"
"__export__.account_tax_104431","431","TRANSFERENCIAS NO OBJETO O EXENTAS DE IVA",,"sale","percent","0","__export__.account_account_tag_104431,__export__.account_account_tag_atsbasenograiva","__export__.account_tax_group_ivaventas"
"__export__.account_tax_104434","434","INGRESOS POR REEMBOLSO COMO INTERMEDIARIO (INFORMATIVO)",,"sale","percent","0","__export__.account_account_tag_104434","__export__.account_tax_group_ivaventas"
"__export__.account_tax_10450001","500 BIENES Y SERVICIOS","BIENES Y SERVICIOS IVA 12 | Crédito tributario para declaración de IVA (ST 01)","__export__.l10n_ec_sri_ats_16_sustento_01","purchase","percent","12","__export__.account_account_tag_104500,__export__.account_account_tag_atsbaseimpgrav","__export__.account_tax_group_ivacompras"
"__export__.account_tax_10450005","500 EMPLEADOS","BIENES Y SERVICIOS IVA 12 | Liquidación gastos de viaje a nombre de empleados (ST 05)","__export__.l10n_ec_sri_ats_16_sustento_05","purchase","percent","12","__export__.account_account_tag_104500,__export__.account_account_tag_atsbaseimpgrav","__export__.account_tax_group_ivacompras"
"__export__.account_tax_10450006","500 INVENTARIO","BIENES Y SERVICIOS IVA 12 | Inventario - crédito tributario para declaración de IVA (ST 06)","__export__.l10n_ec_sri_ats_16_sustento_06","purchase","percent","12","__export__.account_account_tag_104500,__export__.account_account_tag_atsbaseimpgrav","__export__.account_tax_group_ivacompras"
"__export__.account_tax_10450008","500 INTERMEDIARIO","BIENES Y SERVICIOS IVA 12 | Valor pagado para reembolso de gasto (intermediario) (ST 08)","__export__.l10n_ec_sri_ats_16_sustento_08","purchase","percent","12","__export__.account_account_tag_104500,__export__.account_account_tag_104535,__export__.account_account_tag_atsbaseimpgrav","__export__.account_tax_group_ivacompras"
"__export__.account_tax_10450103","501 ACTIVOS FIJOS","ACTIVOS FIJOS IVA 12 | Activo Fijo - crédito tributario para declaración de IVA (ST 03)","__export__.l10n_ec_sri_ats_16_sustento_03","purchase","percent","12","__export__.account_account_tag_104501,__export__.account_account_tag_atsbaseimpgrav","__export__.account_tax_group_ivacompras"
"__export__.account_tax_10450108","501 INTERMEDIARIO","ACTIVOS FIJOS IVA 12 | Valor pagado para reembolso de gasto (intermediario) (ST 08)","__export__.l10n_ec_sri_ats_16_sustento_08","purchase","percent","12","__export__.account_account_tag_104501,__export__.account_account_tag_104535,__export__.account_account_tag_atsbaseimpgrav","__export__.account_tax_group_ivacompras"
"__export__.account_tax_10450200","502 CASOS ESPECIALES","OTRAS ADQUISICIONES  IVA 12 | Casos especiales (ST 00)","__export__.l10n_ec_sri_ats_16_sustento_00","purchase","percent","12","__export__.account_account_tag_104502,__export__.account_account_tag_atsbaseimpgrav","__export__.account_tax_group_ivacompras"
"__export__.account_tax_10450202","502 COSTO O GASTO","OTRAS ADQUISICIONES  IVA 12 | Costo o gasto para declaración de IR (ST 02)","__export__.l10n_ec_sri_ats_16_sustento_02","purchase","percent","12","__export__.account_account_tag_104502,__export__.account_account_tag_atsbaseimpgrav","__export__.account_tax_group_ivacompras"
"__export__.account_tax_10450204","502 ACTIVOS FIJOS","OTRAS ADQUISICIONES  IVA 12 | Activo Fijo - costo o gasto para declaración de IR (ST 04)","__export__.l10n_ec_sri_ats_16_sustento_04","purchase","percent","12","__export__.account_account_tag_104502,__export__.account_account_tag_atsbaseimpgrav","__export__.account_tax_group_ivacompras"
"__export__.account_tax_10450205","502 EMPLEADOS","OTRAS ADQUISICIONES  IVA 12 | Liquidación gastos de viaje a nombre de empleados (ST 05)","__export__.l10n_ec_sri_ats_16_sustento_05","purchase","percent","12","__export__.account_account_tag_104502,__export__.account_account_tag_atsbaseimpgrav","__export__.account_tax_group_ivacompras"
"__export__.account_tax_10450207","502 INVENTARIO","OTRAS ADQUISICIONES  IVA 12 | Inventario - costo o gasto para declaración de IR (ST 07)","__export__.l10n_ec_sri_ats_16_sustento_07","purchase","percent","12","__export__.account_account_tag_104502,__export__.account_account_tag_atsbaseimpgrav","__export__.account_tax_group_ivacompras"
